stimulus_items,condition,allocations,median_latency,min_latency,max_latency,median_l1d_refill,min_l1d_refill,max_l1d_refill,median_tlb_refill,min_tlb_refill,max_tlb_refill,median_ll_miss,min_ll_miss,max_ll_miss,median_l1d_refill_events_per_window,min_l1d_refill_events_per_window,max_l1d_refill_events_per_window,median_tlb_refill_events_per_window,min_tlb_refill_events_per_window,max_tlb_refill_events_per_window,median_ll_miss_events_per_window,min_ll_miss_events_per_window,max_ll_miss_events_per_window
15,same_candidate,5,356.0,349.0,409.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.5,99.9,1.032,1.023,1.399,2.0,2.0,2.0,1.014,1.0,1.248
15,same_baseline,5,93.0,82.0,134.0,1.3,0.8,15.0,100.0,100.0,100.0,2.3,0.6,25.7,0.013,0.008,0.15,2.0,2.0,2.0,0.031,0.007,0.259
15,cross_candidate,5,101.0,73.0,224.0,56.4,36.0,87.1,0.0,0.0,0.5,27.9,18.5,81.8,0.653,0.402,1.136,0.0,0.0,0.015,0.279,0.186,0.829
15,cross_baseline,5,43.0,42.0,45.0,45.6,26.1,68.5,0.0,0.0,0.6,0.1,0.0,1.3,0.456,0.261,0.685,0.0,0.0,0.017,0.002,0.0,0.02
16,same_candidate,5,355.0,349.0,449.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.5,99.9,1.05,1.029,1.447,2.0,2.0,2.0,1.006,0.998,1.471
16,same_baseline,5,87.0,79.0,186.0,3.3,1.6,35.6,100.0,100.0,100.0,1.5,0.1,47.9,0.033,0.016,0.356,2.0,2.0,2.0,0.015,0.001,0.484
16,cross_candidate,5,291.0,281.0,296.0,98.6,97.1,99.8,0.0,0.0,0.0,96.9,96.0,99.1,1.378,1.2,1.587,0.0,0.0,0.0,0.97,0.961,0.991
16,cross_baseline,5,44.0,42.0,45.0,42.3,24.3,65.0,0.0,0.0,0.0,0.1,0.1,0.3,0.423,0.243,0.65,0.0,0.0,0.0,0.004,0.001,0.005
17,same_candidate,5,392.0,347.0,502.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,100.0,1.069,1.038,1.471,2.0,2.0,2.0,1.209,1.004,1.712
17,same_baseline,5,130.0,82.0,231.0,4.1,2.6,46.9,100.0,100.0,100.0,23.5,0.6,67.6,0.041,0.026,0.469,2.0,2.0,2.0,0.238,0.008,0.677
