platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3588,stress,64M,C3,5,5.63,5.42,6.17,5.42,6.17,run-level percentile bootstrap
RK3588,stress,128M,C3,5,5.67,5.58,5.83,5.58,5.83,run-level percentile bootstrap
RK3588,stress,256M,C3,5,5.46,5,5.83,5,5.83,run-level percentile bootstrap
RK3568,idle,128K,Baseline,5,23.25,21.04,25.17,21.04,25.17,run-level percentile bootstrap
RK3568,idle,256K,Baseline,5,24.38,21.46,31.79,21.46,31.79,run-level percentile bootstrap
RK3568,idle,512K,Baseline,5,28.25,25.42,49.96,25.42,49.96,run-level percentile bootstrap
RK3568,idle,1M,Baseline,5,33.63,26.54,47.13,26.54,47.13,run-level percentile bootstrap
RK3568,idle,2M,Baseline,5,47.42,30.58,50,30.58,50,run-level percentile bootstrap
RK3568,idle,4M,Baseline,5,55.92,34.58,78.08,34.58,78.08,run-level percentile bootstrap
RK3568,idle,8M,Baseline,5,47.67,28.92,54.96,28.92,54.96,run-level percentile bootstrap
RK3568,idle,16M,Baseline,5,45.33,32.13,51.08,32.13,51.08,run-level percentile bootstrap
RK3568,idle,32M,Baseline,5,41,36.67,52.25,36.67,52.25,run-level percentile bootstrap
RK3568,idle,64M,Baseline,5,37.38,36,45.17,36,45.17,run-level percentile bootstrap
RK3568,idle,128M,Baseline,5,38.42,34.13,60.13,34.13,60.13,run-level percentile bootstrap
RK3568,idle,256M,Baseline,5,40.13,31.71,49.21,31.71,49.21,run-level percentile bootstrap
RK3568,idle,128K,WP,5,9.38,7.29,11.88,7.29,11.88,run-level percentile bootstrap
RK3568,idle,256K,WP,5,8.21,7.04,10.33,7.04,10.33,run-level percentile bootstrap
RK3568,idle,512K,WP,5,8.67,7.5,10.75,7.5,10.75,run-level percentile bootstrap
RK3568,idle,1M,WP,5,9.08,7.04,12.04,7.04,12.04,run-level percentile bootstrap
RK3568,idle,2M,WP,5,11.67,11.42,20.96,11.42,20.96,run-level percentile bootstrap
RK3568,idle,4M,WP,5,16.29,11.29,22.21,11.29,22.21,run-level percentile bootstrap
RK3568,idle,8M,WP,5,14.5,11.71,23.54,11.71,23.54,run-level percentile bootstrap
RK3568,idle,16M,WP,5,15.17,11.79,21,11.79,21,run-level percentile bootstrap
RK3568,idle,32M,WP,5,14.17,13.42,15,13.42,15,run-level percentile bootstrap
RK3568,idle,64M,WP,5,12.96,12.42,15.08,12.42,15.08,run-level percentile bootstrap
RK3568,idle,128M,WP,5,12.88,11.71,15.83,11.71,15.83,run-level percentile bootstrap
RK3568,idle,256M,WP,5,15.88,8.42,17.21,8.42,17.21,run-level percentile bootstrap
RK3568,idle,128K,SP,5,10.17,6.88,11.75,6.88,11.75,run-level percentile bootstrap
RK3568,idle,256K,SP,5,7.83,6.46,10.33,6.46,10.33,run-level percentile bootstrap
RK3568,idle,512K,SP,5,7.79,6.33,8.88,6.33,8.88,run-level percentile bootstrap
RK3568,idle,1M,SP,5,8.46,7.71,12.13,7.71,12.13,run-level percentile bootstrap
RK3568,idle,2M,SP,5,10,6.58,12.58,6.58,12.58,run-level percentile bootstrap
RK3568,idle,4M,SP,5,10.83,9.04,15.08,9.04,15.08,run-level percentile bootstrap
RK3568,idle,8M,SP,5,7.71,6.92,10.08,6.92,10.08,run-level percentile bootstrap
RK3568,idle,16M,SP,5,9.67,8.21,12,8.21,12,run-level percentile bootstrap
RK3568,idle,32M,SP,5,8.88,7.75,11.46,7.75,11.46,run-level percentile bootstrap
RK3568,idle,64M,SP,5,7.75,6.92,11.63,6.92,11.63,run-level percentile bootstrap
RK3568,idle,128M,SP,5,8.96,8.17,10.79,8.17,10.79,run-level percentile bootstrap
RK3568,idle,256M,SP,5,9.21,6.88,10.25,6.88,10.25,run-level percentile bootstrap
RK3568,idle,128K,C3,5,8.92,6.96,9.46,6.96,9.46,run-level percentile bootstrap
RK3568,idle,256K,C3,5,8.54,6.5,12.58,6.5,12.58,run-level percentile bootstrap
RK3568,idle,512K,C3,5,9.08,6.79,11.17,6.79,11.17,run-level percentile bootstrap
RK3568,idle,1M,C3,5,8.54,7.58,9.54,7.58,9.54,run-level percentile bootstrap
RK3568,idle,2M,C3,5,9.5,7.79,12.21,7.79,12.21,run-level percentile bootstrap
RK3568,idle,4M,C3,5,9.17,5.33,10.58,5.33,10.58,run-level percentile bootstrap
RK3568,idle,8M,C3,5,9.79,8.21,10,8.21,10,run-level percentile bootstrap
RK3568,idle,16M,C3,5,9.38,8.92,10.54,8.92,10.54,run-level percentile bootstrap
RK3568,idle,32M,C3,5,8.17,6.67,10.33,6.67,10.33,run-level percentile bootstrap
RK3568,idle,64M,C3,5,10.17,7.21,16.46,7.21,16.46,run-level percentile bootstrap
RK3568,idle,128M,C3,5,9.13,8.5,11.54,8.5,11.54,run-level percentile bootstrap
RK3568,idle,256M,C3,5,7.92,6.21,11.38,6.21,11.38,run-level percentile bootstrap
RK3568,stress,128K,Baseline,5,31.83,29.08,36.38,29.08,36.38,run-level percentile bootstrap
RK3568,stress,256K,Baseline,5,43.5,37.38,55.46,37.38,55.46,run-level percentile bootstrap
RK3568,stress,512K,Baseline,5,55.08,40.25,60.29,40.25,60.29,run-level percentile bootstrap
RK3568,stress,1M,Baseline,5,96.96,79.25,109.79,79.25,109.79,run-level percentile bootstrap
RK3568,stress,2M,Baseline,5,137.79,57.92,146.5,57.92,146.5,run-level percentile bootstrap
RK3568,stress,4M,Baseline,5,175.58,113.58,198.71,113.58,198.71,run-level percentile bootstrap
RK3568,stress,8M,Baseline,5,189.29,78.08,206.63,78.08,206.63,run-level percentile bootstrap
RK3568,stress,16M,Baseline,5,127.96,44.58,141.25,44.58,141.25,run-level percentile bootstrap
RK3568,stress,32M,Baseline,5,127.67,101.08,138.04,101.08,138.04,run-level percentile bootstrap
RK3568,stress,64M,Baseline,5,119.79,105.58,134.46,105.58,134.46,run-level percentile bootstrap
RK3568,stress,128M,Baseline,5,125,73.21,149.92,73.21,149.92,run-level percentile bootstrap
RK3568,stress,256M,Baseline,5,89.08,51.46,143.08,51.46,143.08,run-level percentile bootstrap
RK3568,stress,128K,WP,5,32.83,29.17,36.79,29.17,36.79,run-level percentile bootstrap
RK3568,stress,256K,WP,5,36.25,27.46,41.92,27.46,41.92,run-level percentile bootstrap
RK3568,stress,512K,WP,5,47.21,33.42,55,33.42,55,run-level percentile bootstrap
RK3568,stress,1M,WP,5,74.13,70.5,76.42,70.5,76.42,run-level percentile bootstrap
RK3568,stress,2M,WP,5,102.71,78.83,106.92,78.83,106.92,run-level percentile bootstrap
RK3568,stress,4M,WP,5,172.71,159.79,182.38,159.79,182.38,run-level percentile bootstrap
RK3568,stress,8M,WP,5,183.46,136.08,212.58,136.08,212.58,run-level percentile bootstrap
RK3568,stress,16M,WP,5,127.21,87.54,173.17,87.54,173.17,run-level percentile bootstrap
RK3568,stress,32M,WP,5,127.08,100.67,134.17,100.67,134.17,run-level percentile bootstrap
RK3568,stress,64M,WP,5,123.96,99.33,139,99.33,139,run-level percentile bootstrap
RK3568,stress,128M,WP,5,130.33,126.46,133.29,126.46,133.29,run-level percentile bootstrap
RK3568,stress,256M,WP,5,102,75.63,122.33,75.63,122.33,run-level percentile bootstrap
RK3568,stress,128K,SP,5,36.92,30,38.63,30,38.63,run-level percentile bootstrap
RK3568,stress,256K,SP,5,37.17,30.25,39.92,30.25,39.92,run-level percentile bootstrap
RK3568,stress,512K,SP,5,52.71,52.33,63.42,52.33,63.42,run-level percentile bootstrap
RK3568,stress,1M,SP,5,75.96,71.63,81.58,71.63,81.58,run-level percentile bootstrap
RK3568,stress,2M,SP,5,108.38,97.21,123.83,97.21,123.83,run-level percentile bootstrap
RK3568,stress,4M,SP,5,149.08,124.88,168.75,124.88,168.75,run-level percentile bootstrap
RK3568,stress,8M,SP,5,152.63,140.17,163.71,140.17,163.71,run-level percentile bootstrap
RK3568,stress,16M,SP,5,70.88,65.96,121.63,65.96,121.63,run-level percentile bootstrap
RK3568,stress,32M,SP,5,98.75,89.08,114.83,89.08,114.83,run-level percentile bootstrap
RK3568,stress,64M,SP,5,96.04,44.92,103,44.92,103,run-level percentile bootstrap
RK3568,stress,128M,SP,5,83.88,78.46,100.08,78.46,100.08,run-level percentile bootstrap
RK3568,stress,256M,SP,5,88.46,50.46,97.58,50.46,97.58,run-level percentile bootstrap
RK3568,stress,128K,C3,5,18,17.17,20.25,17.17,20.25,run-level percentile bootstrap
RK3568,stress,256K,C3,5,17.21,16.54,21.38,16.54,21.38,run-level percentile bootstrap
RK3568,stress,512K,C3,5,24.54,23.42,28,23.42,28,run-level percentile bootstrap
RK3568,stress,1M,C3,5,30.17,27.58,38.08,27.58,38.08,run-level percentile bootstrap
RK3568,stress,2M,C3,5,31.92,27.92,37.63,27.92,37.63,run-level percentile bootstrap
RK3568,stress,4M,C3,5,38.17,29.5,42.54,29.5,42.54,run-level percentile bootstrap
RK3568,stress,8M,C3,5,37.04,35,44.58,35,44.58,run-level percentile bootstrap
RK3568,stress,16M,C3,5,30,18.63,33.92,18.63,33.92,run-level percentile bootstrap
RK3568,stress,32M,C3,5,32.54,27.08,34.92,27.08,34.92,run-level percentile bootstrap
RK3568,stress,64M,C3,5,29,20.46,30.54,20.46,30.54,run-level percentile bootstrap
RK3568,stress,128M,C3,5,24.92,21.29,27,21.29,27,run-level percentile bootstrap
RK3568,stress,256M,C3,5,28.88,26.92,42.25,26.92,42.25,run-level percentile bootstrap
