# module,rk3588_sf_bitscan
# schema_version,18
# experiment_run_id,rk3568_bit_item_run01
# experiment,owned_per_bit_same_cross_item_sweep
# scan_order,7
# allocation_scope,one_module_load_one_fresh_owned_page_pool
# owned_pages_only,true
# computed_physical_addresses_are_lookup_keys_only,true
# arbitrary_physical_address_mapping,false
# counter,pmccntr_cycles
# counter_calibration_delta,266
# counter_calibration_method,civac_then_single_touch_of_one_owned_line
# counter_calibration_usage,counter_sanity_check_only_not_subtracted_from_probe_ticks
# probe_pmu_events_available,true
# ll_cache_events_available,true
# l1d_tlb_refill_event_available,true
# probe_pmu_event_l1d_tlb_refill,0x05
# probe_pmu_event_ll_cache_rd,0x36
# probe_pmu_event_ll_cache_miss_rd,0x37
# probe_pmu_event_source,Arm_architected_common_event_numbers
# probe_cpu,3
# stimulus_cpus,2
# same_core_binding,probe_and_candidate_accesses_execute_on_probe_cpu
# cross_core_binding,probe_executes_on_probe_cpu_and_candidate_accesses_execute_on_stimulus_cpus
# pool_pages,329376
# candidate_target_masked,0x138e900
# addrmask,0x1ffffff
# owned_candidate_pool,23
# stimulus_mask,0xfffff
# initial_candidate_items,20
# target_candidate_items,16
# active_candidates,16
# candidate_selection,online_random_validated
# candidate_search_attempt,1
# search_groups,2000
# search_repetitions,20
# baseline_repetitions,1000
# reduction_repetitions,20
# reduction_validation_repetitions,200
# scan_passes,5
# color_bit0,16
# color_bit1,17
# color_repetitions,1000
# base_probe_pa,0x3938e900
# bit_first,0
# bit_last,24
# fill_rounds,100
# fill_rounds_scope,candidate_search_reduction_validation_and_bit_tests
# bit_repetitions,100
# item_sweep_first,0
# item_sweep_last,20
# item_count_definition,stimulus_addresses_excluding_probe
# item_sweep_repetitions,100
# item_sweep_rounds,100
# item_sweep_rounds_scope,effective_values_for_item_sweep_each_row_records_one_as_fill_rounds
# item_sweep_order,descending_from_item_sweep_last_to_item_sweep_first
# bit_item_sweep_conditions,same_original_matching;same_probe_only_flipped;cross_original_matching;cross_probe_only_flipped
# bit_item_sweep_candidate_order,one_random_permutation_per_scan_pass_with_nested_prefixes_within_each_pass
# attribution_control_repetitions,100
# attribution_cross_only_bits,false
# joint_rescue_mask,0x30000
# pair_screen_repetitions,100
# pair_screen_percent,80
# single_max_percent,20
# triple_screen_repetitions,100
# triple_screen_percent,80
# pair_max_percent,20
# trigger_threshold,150
# stable_percent,95
# latency_bins,0..89;90..129;130..219;220..inf
# cache_line_bytes,64
# intra_line_negative_control_bits,0..5
# cross_bit_conditions,original_matching;probe_only_flipped
# joint_bit_conditions,joint_group_flipped_for_joint_rescue_mask
# selector_rescue_rule,original_and_joint_at_least_stable_percent_and_probe_only_at_most_single_max_percent
# selection_validation,matching_candidate_set_before_scan
# unrelated_control,same_owned_page_control_bit_not_in_changed_mask
# idle_control,stimulus_handshake_with_zero_address_accesses
record,scan_pass,test_bit,test_bit2,test_bit3,variant,available,lookup_status,active_candidates,fill_rounds,successes,repetitions,success_percent,stable,mean_ticks,median_ticks,p90_ticks,min_ticks,max_ticks,probe_l1d_refill_total,probe_l1d_tlb_refill_total,probe_l2d_refill_total,probe_bus_access_total,probe_l1d_refill_samples,probe_l1d_tlb_refill_samples,probe_l2d_refill_samples,probe_ll_cache_rd_total,probe_ll_cache_miss_total,probe_ll_cache_rd_samples,probe_ll_cache_miss_samples,latency_lt_bin1,latency_bin1_bin2,latency_bin2_bin3,latency_ge_bin3,probe_pa,paired_probe_pa,changed_mask
bit_item_sweep,1,0,64,64,cross_probe_only_flipped,1,owned_exact,14,100,67,100,67,0,188,232,237,29,726,81,0,67,352,72,0,67,87,67,72,67,33,0,0,67,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,13,100,100,100,100,1,364,318,535,271,1008,101,223,107,1619,100,100,100,253,107,100,100,0,0,0,100,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,13,100,100,100,100,1,357,325,382,271,968,105,224,105,1587,100,100,98,227,105,100,98,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,13,100,8,100,8,0,51,27,71,27,239,38,0,8,321,36,0,8,80,8,39,8,92,0,0,8,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,cross_probe_only_flipped,1,owned_exact,13,100,14,100,14,0,62,29,232,29,256,36,0,14,213,31,0,14,53,14,32,14,85,1,0,14,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,12,100,99,100,99,1,300,263,323,66,927,100,141,100,1214,99,100,99,193,100,100,99,1,0,0,99,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,12,100,100,100,100,1,329,301,357,259,1063,105,169,105,1322,100,100,100,186,105,100,100,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,12,100,12,100,12,0,64,27,229,27,593,47,0,12,317,47,0,12,79,12,52,12,87,1,0,12,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,cross_probe_only_flipped,1,owned_exact,12,100,18,100,18,0,79,29,235,29,870,46,0,17,235,42,0,17,59,17,44,17,82,0,0,18,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,11,100,97,100,97,1,278,262,265,47,1025,101,0,97,1089,99,0,97,180,97,100,97,3,0,0,97,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,11,100,98,100,98,1,301,264,296,63,1022,98,0,99,909,98,0,98,135,99,100,98,2,0,0,98,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,11,100,5,100,5,0,43,27,57,27,239,33,0,5,206,28,0,5,51,5,33,5,95,0,0,5,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,cross_probe_only_flipped,1,owned_exact,11,100,10,100,10,0,65,29,73,29,805,28,0,10,144,26,0,10,36,10,25,10,90,0,0,10,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,same_original_matching,1,owned_exact,10,100,97,100,97,1,281,261,265,53,1023,97,0,96,1048,97,0,96,175,96,100,96,3,0,0,97,0x3938e900,0x3938e901,0x1
bit_item_sweep,1,0,64,64,same_probe_only_flipped,1,owned_exact,10,100,100,100,100,1,320,264,303,257,1019,102,0,101,986,100,0,100,152,101,100,100,0,0,0,100,0x3938e901,0x3938e900,0x1
bit_item_sweep,1,0,64,64,cross_original_matching,1,owned_exact,10,100,8,100,8,0,51,27,75,27,235,27,0,8,233,27,0,8,58,8,32,8,90,2,0,8,0x3938e900,0x3938e901,0x1
