platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3568,idle,256K,Baseline,1,17.88,,,17.88,17.88,not shown (single run; n<5)
RK3568,idle,512K,Baseline,1,27.46,,,27.46,27.46,not shown (single run; n<5)
RK3568,idle,1M,Baseline,1,57.13,,,57.13,57.13,not shown (single run; n<5)
RK3568,idle,2M,Baseline,1,41.13,,,41.13,41.13,not shown (single run; n<5)
RK3568,idle,4M,Baseline,1,93.21,,,93.21,93.21,not shown (single run; n<5)
RK3568,idle,8M,Baseline,1,77.42,,,77.42,77.42,not shown (single run; n<5)
RK3568,idle,16M,Baseline,1,65.63,,,65.63,65.63,not shown (single run; n<5)
RK3568,idle,32M,Baseline,1,48.13,,,48.13,48.13,not shown (single run; n<5)
RK3568,idle,64M,Baseline,1,43.21,,,43.21,43.21,not shown (single run; n<5)
RK3568,idle,128M,Baseline,1,50.29,,,50.29,50.29,not shown (single run; n<5)
RK3568,idle,256M,Baseline,1,48.38,,,48.38,48.38,not shown (single run; n<5)
RK3568,idle,128K,WP,1,6.54,,,6.54,6.54,not shown (single run; n<5)
RK3568,idle,256K,WP,1,6.67,,,6.67,6.67,not shown (single run; n<5)
RK3568,idle,512K,WP,1,9.29,,,9.29,9.29,not shown (single run; n<5)
RK3568,idle,1M,WP,1,18.04,,,18.04,18.04,not shown (single run; n<5)
RK3568,idle,2M,WP,1,25.29,,,25.29,25.29,not shown (single run; n<5)
RK3568,idle,4M,WP,1,20.63,,,20.63,20.63,not shown (single run; n<5)
RK3568,idle,8M,WP,1,31.08,,,31.08,31.08,not shown (single run; n<5)
RK3568,idle,16M,WP,1,30.29,,,30.29,30.29,not shown (single run; n<5)
RK3568,idle,32M,WP,1,32.13,,,32.13,32.13,not shown (single run; n<5)
RK3568,idle,64M,WP,1,36.21,,,36.21,36.21,not shown (single run; n<5)
RK3568,idle,128M,WP,1,29.67,,,29.67,29.67,not shown (single run; n<5)
RK3568,idle,256M,WP,1,35,,,35,35,not shown (single run; n<5)
RK3568,idle,128K,SP,1,4.08,,,4.08,4.08,not shown (single run; n<5)
RK3568,idle,256K,SP,1,5.08,,,5.08,5.08,not shown (single run; n<5)
RK3568,idle,512K,SP,1,6.88,,,6.88,6.88,not shown (single run; n<5)
RK3568,idle,1M,SP,1,7.75,,,7.75,7.75,not shown (single run; n<5)
RK3568,idle,2M,SP,1,7.58,,,7.58,7.58,not shown (single run; n<5)
RK3568,idle,4M,SP,1,17.79,,,17.79,17.79,not shown (single run; n<5)
RK3568,idle,8M,SP,1,8.71,,,8.71,8.71,not shown (single run; n<5)
RK3568,idle,16M,SP,1,7.08,,,7.08,7.08,not shown (single run; n<5)
RK3568,idle,32M,SP,1,14.54,,,14.54,14.54,not shown (single run; n<5)
