platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3568,idle,128K,SP,1,4.5,,,4.5,4.5,not shown (single run; n<5)
RK3568,idle,256K,SP,1,5.25,,,5.25,5.25,not shown (single run; n<5)
RK3568,idle,512K,SP,1,11.92,,,11.92,11.92,not shown (single run; n<5)
RK3568,idle,1M,SP,1,8.13,,,8.13,8.13,not shown (single run; n<5)
RK3568,idle,2M,SP,1,8.21,,,8.21,8.21,not shown (single run; n<5)
RK3568,idle,4M,SP,1,15.08,,,15.08,15.08,not shown (single run; n<5)
RK3568,idle,8M,SP,1,9.17,,,9.17,9.17,not shown (single run; n<5)
RK3568,idle,16M,SP,1,8.79,,,8.79,8.79,not shown (single run; n<5)
RK3568,idle,32M,SP,1,10.71,,,10.71,10.71,not shown (single run; n<5)
RK3568,idle,64M,SP,1,9.58,,,9.58,9.58,not shown (single run; n<5)
RK3568,idle,128M,SP,1,9.21,,,9.21,9.21,not shown (single run; n<5)
RK3568,idle,256M,SP,1,9.75,,,9.75,9.75,not shown (single run; n<5)
RK3568,idle,128K,C3,1,4.08,,,4.08,4.08,not shown (single run; n<5)
RK3568,idle,256K,C3,1,7.13,,,7.13,7.13,not shown (single run; n<5)
RK3568,idle,512K,C3,1,5.5,,,5.5,5.5,not shown (single run; n<5)
RK3568,idle,1M,C3,1,6.63,,,6.63,6.63,not shown (single run; n<5)
RK3568,idle,2M,C3,1,6.67,,,6.67,6.67,not shown (single run; n<5)
RK3568,idle,4M,C3,1,6.54,,,6.54,6.54,not shown (single run; n<5)
RK3568,idle,8M,C3,1,8.5,,,8.5,8.5,not shown (single run; n<5)
RK3568,idle,16M,C3,1,8.5,,,8.5,8.5,not shown (single run; n<5)
RK3568,idle,32M,C3,1,10,,,10,10,not shown (single run; n<5)
RK3568,idle,64M,C3,1,8.96,,,8.96,8.96,not shown (single run; n<5)
RK3568,idle,128M,C3,1,7.79,,,7.79,7.79,not shown (single run; n<5)
RK3568,idle,256M,C3,1,9.46,,,9.46,9.46,not shown (single run; n<5)
RK3568,stress,128K,Baseline,1,32.04,,,32.04,32.04,not shown (single run; n<5)
