stimulus_items,condition,allocations,median_latency,min_latency,max_latency,median_l1d_refill,min_l1d_refill,max_l1d_refill,median_tlb_refill,min_tlb_refill,max_tlb_refill,median_ll_miss,min_ll_miss,max_ll_miss,median_l1d_refill_events_per_window,min_l1d_refill_events_per_window,max_l1d_refill_events_per_window,median_tlb_refill_events_per_window,min_tlb_refill_events_per_window,max_tlb_refill_events_per_window,median_ll_miss_events_per_window,min_ll_miss_events_per_window,max_ll_miss_events_per_window
12,same_candidate,5,288.0,274.0,299.0,95.8,93.5,98.3,100.0,100.0,100.0,92.7,92.0,96.6,1.002,0.952,1.335,1.508,1.167,1.667,0.933,0.926,0.972
12,same_baseline,5,55.0,55.0,63.0,1.1,0.8,12.3,100.0,100.0,100.0,0.2,0.1,1.0,0.011,0.008,0.123,1.484,1.43,1.573,0.002,0.001,0.01
12,cross_candidate,5,32.0,31.0,38.0,33.1,15.5,44.6,0.0,0.0,0.0,0.0,0.0,2.4,0.331,0.155,0.446,0.0,0.0,0.0,0.0,0.0,0.024
12,cross_baseline,5,42.0,41.0,43.0,45.2,27.0,65.2,0.0,0.0,0.0,0.1,0.1,0.3,0.452,0.27,0.652,0.0,0.0,0.0,0.002,0.002,0.003
13,same_candidate,5,345.0,328.0,351.0,99.4,99.2,99.5,100.0,100.0,100.0,99.0,98.6,99.3,1.033,1.008,1.38,2.053,2.039,2.059,0.998,0.993,1.034
13,same_baseline,5,69.0,62.0,86.0,1.0,0.5,11.5,100.0,100.0,100.0,0.4,0.2,4.1,0.01,0.005,0.115,2.064,2.043,2.166,0.004,0.002,0.041
13,cross_candidate,5,33.0,32.0,55.0,36.1,17.1,42.6,0.0,0.0,0.0,0.2,0.0,9.3,0.361,0.172,0.465,0.0,0.0,0.0,0.002,0.0,0.093
13,cross_baseline,5,42.0,42.0,43.0,41.9,26.3,67.7,0.0,0.0,0.0,0.2,0.1,0.4,0.419,0.263,0.677,0.0,0.0,0.0,0.004,0.003,0.007
16,same_candidate,5,355.0,349.0,449.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.5,99.9,1.05,1.029,1.447,2.0,2.0,2.0,1.006,0.998,1.471
16,same_baseline,5,87.0,79.0,186.0,3.3,1.6,35.6,100.0,100.0,100.0,1.5,0.1,47.9,0.033,0.016,0.356,2.0,2.0,2.0,0.015,0.001,0.484
16,cross_candidate,5,291.0,281.0,296.0,98.6,97.1,99.8,0.0,0.0,0.0,96.9,96.0,99.1,1.378,1.2,1.587,0.0,0.0,0.0,0.97,0.961,0.991
16,cross_baseline,5,44.0,42.0,45.0,42.3,24.3,65.0,0.0,0.0,0.0,0.1,0.1,0.3,0.423,0.243,0.65,0.0,0.0,0.0,0.004,0.001,0.005
20,same_candidate,5,545.0,360.0,582.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6,100.0,1.406,1.055,1.453,2.0,2.0,2.0,1.848,0.998,2.0
20,same_baseline,5,282.0,85.0,313.0,37.1,4.0,48.8,100.0,100.0,100.0,84.8,0.7,99.5,0.371,0.04,0.49,2.0,2.0,2.0,0.853,0.01,0.996
20,cross_candidate,5,301.0,295.0,304.0,100.0,99.3,100.0,0.0,0.0,0.1,99.7,99.0,100.0,1.487,1.233,1.589,0.0,0.0,0.003,0.998,0.99,1.0
20,cross_baseline,5,45.0,44.0,46.0,52.2,29.5,69.2,0.0,0.0,0.0,0.2,0.1,0.3,0.522,0.295,0.692,0.0,0.0,0.0,0.006,0.005,0.007
