bit,stimulus_items,variant,median_mean_cycles,min_mean_cycles,max_mean_cycles,passes
1,19,cross_original_matching,311.0,297.0,342.0,5
1,19,cross_probe_only_flipped,311.0,290.0,321.0,5
1,19,same_original_matching,514.0,383.0,535.0,5
1,19,same_probe_only_flipped,540.0,365.0,552.0,5
1,20,cross_original_matching,302.0,285.0,332.0,5
1,20,cross_probe_only_flipped,295.0,280.0,312.0,5
1,20,same_original_matching,515.0,494.0,546.0,5
1,20,same_probe_only_flipped,533.0,527.0,565.0,5
2,0,cross_original_matching,27.0,27.0,29.0,5
2,0,cross_probe_only_flipped,29.0,29.0,29.0,5
2,0,same_original_matching,29.0,27.0,32.0,5
2,0,same_probe_only_flipped,29.0,29.0,30.0,5
2,1,cross_original_matching,27.0,27.0,28.0,5
2,1,cross_probe_only_flipped,29.0,29.0,29.0,5
2,1,same_original_matching,29.0,29.0,31.0,5
2,1,same_probe_only_flipped,30.0,29.0,31.0,5
2,2,cross_original_matching,27.0,27.0,27.0,5
2,2,cross_probe_only_flipped,29.0,29.0,29.0,5
2,2,same_original_matching,30.0,29.0,39.0,5
2,2,same_probe_only_flipped,47.0,45.0,50.0,5
2,3,cross_original_matching,27.0,27.0,28.0,5
2,3,cross_probe_only_flipped,29.0,29.0,29.0,5
2,3,same_original_matching,48.0,47.0,49.0,5
2,3,same_probe_only_flipped,58.0,53.0,59.0,5
2,4,cross_original_matching,28.0,27.0,28.0,5
2,4,cross_probe_only_flipped,29.0,29.0,30.0,5
2,4,same_original_matching,51.0,49.0,59.0,5
2,4,same_probe_only_flipped,58.0,56.0,64.0,5
2,5,cross_original_matching,28.0,27.0,29.0,5
2,5,cross_probe_only_flipped,29.0,29.0,30.0,5
2,5,same_original_matching,53.0,50.0,59.0,5
2,5,same_probe_only_flipped,70.0,53.0,91.0,5
2,6,cross_original_matching,29.0,27.0,30.0,5
2,6,cross_probe_only_flipped,30.0,30.0,31.0,5
2,6,same_original_matching,87.0,63.0,101.0,5
2,6,same_probe_only_flipped,145.0,117.0,166.0,5
2,7,cross_original_matching,34.0,28.0,37.0,5
2,7,cross_probe_only_flipped,35.0,29.0,36.0,5
